aX,aY,aZ,gX,gY,gZ
1.405,-0.085,1.493,147.522,510.803,-6.165
1.544,0.046,1.983,104.187,491.882,2.136
1.556,0.201,2.531,44.678,458.923,9.399
1.380,0.492,3.260,5.005,404.419,18.127
1.198,0.205,2.303,13.550,345.886,26.550
0.928,0.363,3.895,14.282,290.100,34.912
1.016,0.288,2.548,59.448,308.716,39.673
0.867,0.291,2.787,-0.122,213.379,44.373
0.965,0.153,2.751,-20.996,152.100,40.161
0.915,0.069,2.174,-12.390,143.860,31.128
0.802,-0.044,1.957,-30.029,111.877,25.085
0.731,-0.005,2.228,-41.016,87.952,20.264
0.664,-0.006,1.981,-40.588,86.243,11.841
0.588,0.005,1.943,-39.734,78.430,3.113
0.527,-0.037,1.749,-29.236,68.787,-3.540
0.505,-0.003,1.999,-27.588,50.659,-8.423
0.474,-0.011,1.571,-28.259,36.987,-17.456
0.387,-0.076,1.512,-27.710,31.982,-25.696
0.374,-0.072,1.330,-11.658,52.063,-28.076
0.391,-0.096,1.338,-3.052,52.307,-28.503
0.432,-0.083,1.350,5.066,52.368,-25.330
0.385,-0.060,1.338,10.925,52.002,-16.602
0.380,-0.027,1.348,14.343,48.950,-4.211
0.385,-0.018,1.384,17.090,42.664,4.211
0.363,-0.008,1.367,18.860,33.630,8.606
0.352,0.003,1.341,15.137,22.888,10.864
0.326,0.021,1.302,6.897,7.751,11.169
0.304,0.020,1.230,-1.831,-4.333,9.399
0.290,0.019,1.157,-10.498,-12.939,8.057
0.274,0.004,1.098,-17.456,-19.836,7.690
0.251,-0.008,1.041,-21.729,-23.804,7.935
0.239,-0.014,0.975,-25.330,-24.536,7.263
0.238,-0.023,0.875,-29.358,-23.682,4.578
0.230,-0.004,0.878,-35.583,-24.353,-0.610
0.187,0.037,1.020,-35.706,-22.522,-6.348
0.196,0.015,0.986,-28.320,-11.902,-10.010
0.208,0.019,0.990,-26.184,-7.568,-11.108
0.214,0.043,0.995,-24.292,-10.742,-12.146
0.223,0.058,0.987,-18.372,-15.137,-12.695
0.227,0.076,0.977,-11.536,-19.714,-12.329
0.245,0.091,0.937,-7.935,-23.071,-12.146
0.262,0.111,0.972,-7.385,-26.428,-12.085
0.277,0.110,0.956,-7.690,-20.020,-11.047
0.279,0.123,0.914,-13.489,-15.808,-9.766
0.284,0.131,0.922,-14.099,-16.602,-8.057
0.289,0.131,0.933,-12.512,-17.151,-6.470
0.288,0.125,0.927,-9.521,-15.442,-5.432
0.291,0.106,0.931,-5.737,-15.015,-3.662
0.301,0.068,0.858,-3.784,-17.517,-2.625
0.261,0.145,1.017,-6.836,-23.743,-2.869
0.250,0.100,0.945,-2.136,-23.621,-4.211
0.258,0.104,0.924,0.366,-18.921,-3.662
0.263,0.101,0.893,-3.418,-19.531,-3.723
0.258,0.094,0.858,-8.606,-19.836,-3.357
