aX,aY,aZ,gX,gY,gZ
1.154,0.512,0.985,-122.131,355.896,5.554
1.357,0.532,1.035,-124.878,362.122,11.047
1.638,0.488,1.294,-132.874,359.253,12.756
1.835,0.478,1.683,-152.527,341.187,8.484
1.868,0.546,1.889,-188.110,315.308,0.427
1.913,0.678,2.096,-224.609,285.583,-8.728
1.896,0.681,2.345,-222.473,250.793,-21.912
1.868,0.698,2.346,-203.491,226.257,-30.640
1.819,0.778,2.479,-153.870,180.542,-36.072
1.601,0.777,2.648,-101.868,128.723,-37.537
1.517,0.801,2.134,-66.711,115.723,-38.635
1.416,0.785,1.785,-24.658,105.591,-37.292
1.275,0.762,1.634,26.062,69.092,-31.616
1.113,0.692,1.398,51.392,40.222,-25.818
0.995,0.645,1.375,50.537,21.179,-18.005
0.945,0.651,1.368,34.851,20.142,-10.193
0.908,0.612,1.328,13.977,29.114,-6.104
0.891,0.576,1.187,-2.563,33.325,-4.700
0.863,0.529,1.301,-7.507,25.330,-2.869
0.841,0.524,1.432,-9.705,16.602,1.709
0.806,0.519,1.481,-12.756,17.395,3.967
0.763,0.491,1.452,-10.315,19.165,3.174
0.756,0.444,1.439,2.747,11.536,2.502
0.692,0.456,1.302,16.663,0.793,2.930
0.629,0.411,1.171,28.564,-19.592,2.686
0.577,0.386,1.135,32.837,-39.856,3.418
0.558,0.377,1.043,28.015,-44.739,3.845
0.514,0.336,0.934,23.193,-39.551,2.869
0.488,0.323,0.886,23.499,-38.086,1.709
0.468,0.322,0.865,26.001,-36.499,1.038
0.447,0.315,0.868,26.001,-32.654,2.441
0.436,0.293,0.854,24.048,-28.625,3.845
0.430,0.287,0.850,20.813,-26.855,4.578
0.426,0.283,0.852,18.127,-26.001,5.371
0.415,0.285,0.880,17.578,-25.879,6.287
0.416,0.281,0.895,17.334,-26.489,7.263
0.409,0.279,0.886,16.846,-26.917,7.812
0.444,0.273,0.917,16.907,-27.710,8.057
0.463,0.261,0.888,18.738,-23.743,8.423
0.474,0.231,0.863,22.888,-20.142,8.118
0.485,0.207,0.842,26.611,-16.541,7.874
0.486,0.189,0.820,27.893,-12.878,7.385
0.486,0.171,0.799,26.306,-9.460,6.653
0.483,0.156,0.781,22.949,-6.714,6.165
0.473,0.148,0.766,18.311,-6.042,5.859
0.460,0.158,0.769,12.573,-6.470,5.554
0.451,0.177,0.787,6.897,-7.812,5.615
0.449,0.188,0.796,2.258,-10.071,6.165
0.460,0.188,0.799,-0.305,-12.268,6.714
0.466,0.191,0.794,-0.732,-13.672,6.348
0.487,0.212,0.792,1.526,-12.512,5.432
0.474,0.195,0.763,5.127,-10.620,4.028
0.478,0.208,0.805,7.812,-11.658,3.296
0.474,0.216,0.778,6.836,-7.935,2.625
0.470,0.204,0.762,5.310,-5.554,2.319
0.469,0.199,0.762,4.456,-5.493,2.686
0.462,0.193,0.769,4.700,-5.615,3.113
0.459,0.181,0.767,5.188,-4.456,2.991
0.458,0.174,0.768,6.104,-2.502,2.563
0.460,0.171,0.768,8.179,-1.465,2.075
0.466,0.153,0.769,9.705,0.061,1.465
0.470,0.145,0.771,9.338,-0.061,1.038
0.485,0.148,0.793,8.118,-2.747,0.488
0.490,0.157,0.812,5.920,-5.615,-0.427
0.487,0.168,0.814,4.700,-8.484,-0.916
0.485,0.175,0.806,4.944,-10.254,-1.221
0.482,0.175,0.787,5.798,-10.681,-0.916
0.479,0.180,0.768,5.737,-9.766,-0.244
0.474,0.186,0.764,5.859,-8.240,0.427
0.470,0.183,0.760,5.127,-5.676,1.404
0.476,0.176,0.754,2.808,-3.662,2.319
0.479,0.174,0.772,0.305,-2.258,2.930
0.477,0.176,0.792,-1.770,-0.488,3.052
0.475,0.178,0.807,-2.991,2.319,2.747
0.475,0.180,0.837,-2.991,3.662,2.014
0.473,0.186,0.861,-2.686,3.052,1.099
