aX,aY,aZ,gX,gY,gZ
0.155,-0.076,2.343,-23.865,-92.773,-3.235
0.185,-0.063,2.345,-33.875,-120.178,-8.362
0.208,-0.025,2.314,-41.809,-145.264,-13.245
0.266,0.006,2.282,-45.898,-166.077,-16.541
0.317,0.021,2.258,-47.607,-180.969,-17.334
0.354,0.037,2.248,-44.800,-191.833,-15.625
0.416,0.066,2.250,-37.109,-200.806,-12.634
0.457,0.065,2.234,-28.870,-207.397,-8.911
0.494,0.051,2.208,-28.748,-212.830,-4.944
0.491,0.032,2.134,-36.377,-218.323,-2.991
0.473,0.032,2.083,-47.852,-227.600,-2.563
0.413,-0.011,1.962,-55.237,-245.667,-2.014
0.410,-0.028,1.777,-55.908,-271.790,-1.648
0.419,-0.009,1.591,-47.485,-297.974,-2.563
0.484,0.033,1.503,-30.945,-315.613,-3.601
0.472,0.044,1.469,-13.245,-323.486,-1.465
0.408,0.019,1.368,-2.197,-329.102,1.465
0.414,0.035,1.288,-2.991,-339.539,0.610
0.396,0.050,1.136,-6.226,-352.417,-4.089
0.405,0.112,0.944,-12.268,-367.493,-11.658
0.479,0.205,0.772,-19.226,-381.836,-20.325
0.483,0.266,0.617,-22.156,-392.151,-25.513
0.449,0.288,0.348,-22.644,-403.625,-26.855
0.500,0.318,0.072,-26.917,-422.180,-26.245
0.562,0.301,-0.246,-30.457,-440.552,-24.780
0.630,0.280,-0.518,-35.522,-452.454,-20.935
0.661,0.306,-0.708,-41.260,-455.383,-13.550
0.557,0.249,-0.927,-44.189,-449.158,-3.723
0.536,0.130,-1.145,-49.988,-439.331,4.822
0.529,0.021,-1.414,-55.908,-422.974,8.240
0.524,-0.075,-1.740,-60.425,-395.020,7.202
0.478,-0.096,-2.158,-73.242,-355.713,3.784
0.382,-0.154,-2.649,-95.642,-297.974,3.357
0.304,-0.198,-3.135,-129.272,-209.045,14.221
0.056,-0.130,-3.213,-161.560,-91.064,37.109
-0.076,-0.060,-2.749,-145.264,16.846,60.669
-0.177,-0.185,-2.113,-66.772,81.177,68.298
-0.322,-0.240,-1.442,24.719,105.957,63.538
-0.536,-0.195,-0.817,86.121,100.647,53.284
-0.752,-0.160,-0.382,115.845,83.618,36.682
-0.903,-0.172,-0.145,121.338,75.684,15.564
-1.044,-0.137,0.017,104.248,76.233,-0.854
-1.098,-0.061,0.138,78.247,80.505,-10.193
-1.095,-0.011,0.204,58.228,85.815,-13.977
-1.109,0.013,0.242,48.218,84.717,-13.245
-1.089,0.025,0.240,42.236,75.439,-12.146
-1.061,0.073,0.192,31.677,64.453,-12.268
-1.044,0.111,0.125,18.799,54.626,-13.428
-1.023,0.155,0.083,6.653,45.227,-15.564
-1.006,0.188,0.064,-0.366,34.180,-17.761
-1.005,0.235,0.081,-0.488,24.353,-17.761
-1.020,0.271,0.104,6.531,18.005,-14.465
-1.016,0.293,0.123,15.442,15.442,-9.766
-1.023,0.297,0.141,21.057,15.625,-4.944
-1.034,0.282,0.147,21.423,18.372,-0.732
-1.023,0.262,0.169,17.273,20.813,2.686
-1.022,0.228,0.181,11.047,21.790,4.272
-1.026,0.203,0.195,3.967,21.057,5.249
-1.022,0.173,0.201,-1.282,18.250,5.737
-1.018,0.150,0.187,-2.991,11.536,5.676
-1.025,0.141,0.153,-0.977,3.357,5.249
-1.012,0.133,0.124,1.770,-2.747,4.456
-1.008,0.131,0.101,2.869,-6.165,3.174
-1.004,0.153,0.092,1.099,-5.615,1.648
-0.994,0.163,0.099,-1.160,-1.221,-0.061
-0.979,0.168,0.115,-3.235,4.639,-1.526
-0.965,0.181,0.131,-4.944,8.423,-1.953
-0.956,0.191,0.132,-6.714,8.362,-2.136
-0.951,0.185,0.120,-7.874,4.517,-1.648
-0.954,0.173,0.088,-7.080,-1.099,-0.122
-0.960,0.162,0.056,-4.028,-6.653,1.587
-0.967,0.154,0.023,0.122,-11.230,2.502
-0.977,0.149,-0.005,3.784,-13.000,3.540
-0.982,0.148,-0.025,5.554,-12.573,3.540
-0.986,0.141,-0.044,6.042,-10.071,3.174
-0.984,0.138,-0.058,5.615,-6.531,2.563
-0.984,0.140,-0.063,5.310,-3.540,1.770
-0.987,0.145,-0.062,4.944,-1.343,1.038
-0.988,0.150,-0.047,4.333,0.977,0.916
-0.990,0.151,-0.025,3.479,1.953,1.160
-0.987,0.154,-0.012,2.686,1.221,1.709
-0.985,0.156,-0.008,1.770,-0.854,2.014
-0.982,0.165,-0.006,0.305,-3.052,1.953
-0.984,0.168,-0.014,-1.160,-4.089,1.892
-0.986,0.180,-0.020,-3.113,-3.296,2.563
-0.981,0.183,-0.016,-4.456,-2.014,2.747
-0.978,0.186,-0.008,-6.042,-0.183,2.930
-0.973,0.187,0.001,-7.385,1.038,3.479
-0.971,0.181,0.012,-7.690,0.793,3.418
-0.966,0.168,0.014,-7.507,0.061,3.235
-0.974,0.169,0.028,-6.897,-0.793,3.784
-0.965,0.149,0.024,-6.348,-1.343,4.211
-0.979,0.151,0.030,-6.958,-2.563,5.188
-0.981,0.134,0.026,-5.798,-3.784,5.615
-0.993,0.130,0.026,-4.333,-5.066,5.920
-0.994,0.127,0.015,-2.747,-5.920,5.249
-0.997,0.128,0.004,-1.709,-5.798,4.456
-0.992,0.135,-0.002,-1.282,-4.639,3.357
-0.989,0.142,-0.011,-0.366,-3.052,2.319
-0.983,0.146,-0.018,1.343,-1.465,1.404
-0.979,0.152,-0.019,3.296,0.061,1.465
-0.971,0.151,-0.014,5.920,1.038,1.831
-0.972,0.147,-0.014,7.812,1.770,2.686
-0.973,0.146,-0.016,7.812,1.648,3.052
-0.970,0.141,-0.026,7.629,1.282,2.869
-0.973,0.141,-0.036,7.996,0.977,2.686
-0.974,0.143,-0.043,8.057,1.221,2.258
-0.971,0.145,-0.046,7.141,2.563,1.953
-0.972,0.144,-0.038,6.348,4.517,1.648
-0.973,0.146,-0.025,5.798,6.592,1.221
-0.974,0.151,-0.011,5.066,8.118,1.099
-0.972,0.151,-0.001,4.639,8.423,0.977
-0.974,0.153,0.005,4.517,7.690,1.221
-0.971,0.151,0.011,3.601,6.042,1.282
-0.981,0.148,0.004,2.686,4.578,1.709
-0.982,0.157,0.009,0.732,3.052,1.831
-0.976,0.143,0.004,-0.427,1.465,1.709
-0.978,0.155,0.001,-1.404,1.038,1.404
-0.982,0.160,0.007,-2.319,-0.305,1.770

0.148,-0.099,2.552,9.705,-55.969,4.761
0.134,-0.100,2.534,1.709,-90.881,-1.831
0.149,-0.109,2.496,-12.085,-123.535,-7.690
0.155,-0.131,2.443,-29.358,-146.790,-12.756
0.185,-0.130,2.431,-47.485,-161.865,-16.907
0.216,-0.125,2.466,-61.646,-172.974,-20.630
0.242,-0.118,2.500,-68.970,-185.730,-23.376
0.272,-0.103,2.467,-69.519,-203.003,-25.635
0.344,-0.044,2.387,-63.904,-224.182,-27.771
0.402,0.029,2.279,-54.565,-246.460,-29.236
0.449,0.099,2.137,-46.570,-269.531,-27.771
0.479,0.140,1.939,-48.767,-292.847,-22.339
0.497,0.118,1.705,-60.303,-314.270,-16.113
0.466,0.082,1.448,-74.158,-330.933,-10.986
0.415,0.040,1.156,-81.360,-342.712,-8.728
0.370,0.045,0.881,-81.909,-350.403,-8.911
0.344,0.099,0.735,-77.026,-355.774,-8.179
0.282,0.087,0.540,-62.866,-355.591,-4.517
0.281,0.117,0.417,-50.964,-357.910,0.305
0.301,0.177,0.433,-42.297,-366.394,6.653
0.288,0.097,0.316,-31.494,-380.127,12.329
0.317,0.122,0.203,-28.809,-400.940,12.512
0.406,0.205,0.157,-29.236,-421.814,5.615
0.392,0.173,-0.033,-30.029,-437.805,-3.540
0.464,0.209,-0.275,-42.297,-451.416,-11.108
0.475,0.196,-0.550,-55.176,-451.538,-16.174
0.414,0.152,-0.842,-63.293,-430.542,-15.259
0.336,0.114,-1.158,-65.857,-400.879,-9.644
0.273,0.077,-1.405,-66.711,-367.981,-7.812
0.216,-0.015,-1.650,-67.139,-326.721,-7.263
0.180,-0.126,-1.836,-70.007,-282.959,-3.052
0.167,-0.221,-1.970,-75.684,-240.662,2.563
0.109,-0.302,-2.063,-78.796,-198.242,9.216
-0.003,-0.366,-2.146,-78.796,-152.405,16.785
-0.173,-0.347,-2.139,-81.787,-102.417,24.231
-0.362,-0.280,-1.987,-79.834,-46.753,33.264
-0.534,-0.143,-1.649,-60.181,2.991,39.917
-0.715,-0.053,-1.154,-21.179,38.513,42.175
-0.872,0.041,-0.603,24.658,57.922,41.260
-1.022,0.066,-0.075,61.829,57.800,36.194
-1.105,0.094,0.272,81.421,41.992,26.428
-1.176,0.155,0.361,84.473,17.090,13.672
-1.233,0.239,0.277,75.806,-11.292,0.061
-1.205,0.267,0.136,62.256,-33.997,-10.986
-1.155,0.285,-0.100,48.218,-41.626,-18.127
-1.089,0.318,-0.265,34.180,-39.490,-19.409
-0.996,0.317,-0.357,24.841,-29.602,-16.663
-0.925,0.258,-0.487,24.597,-14.160,-12.268
-0.887,0.235,-0.551,19.043,2.686,-8.728
-0.865,0.234,-0.523,7.996,21.545,-5.920
-0.859,0.226,-0.393,-1.282,36.804,-2.930
-0.885,0.209,-0.207,-6.165,41.199,0.671
-0.897,0.190,-0.042,-6.104,34.729,5.676
-0.951,0.177,0.030,-0.366,23.621,10.620
-1.017,0.184,0.051,6.714,12.634,14.526
