aX,aY,aZ,gX,gY,gZ
0.090,0.161,2.467,-30.640,-80.566,-28.259
0.084,0.132,2.563,-14.832,-113.098,-24.963
0.096,0.142,2.596,9.949,-145.020,-16.541
0.109,0.186,2.578,35.522,-172.607,-5.798
0.153,0.244,2.551,54.260,-194.946,2.258
0.197,0.309,2.545,64.392,-211.731,8.057
0.217,0.350,2.548,65.735,-224.731,10.864
0.228,0.372,2.542,61.035,-237.610,12.451
0.236,0.380,2.518,57.800,-251.709,16.296
0.237,0.380,2.441,63.538,-266.541,23.987
0.247,0.377,2.310,77.637,-279.541,35.461
0.282,0.377,2.162,95.520,-289.246,50.598
0.271,0.350,1.986,110.596,-296.082,65.430
0.260,0.298,1.778,120.300,-301.636,77.148
0.291,0.254,1.612,125.732,-306.335,85.388
0.390,0.229,1.561,125.244,-306.641,89.355
0.431,0.195,1.545,114.990,-302.917,86.609
0.431,0.147,1.556,102.417,-303.162,77.454
0.383,0.100,1.492,92.285,-311.584,64.758
0.362,0.067,1.374,87.402,-328.491,55.359
0.370,0.061,1.205,87.219,-346.680,54.626
0.383,0.034,1.002,90.637,-361.450,60.120
0.417,0.025,0.776,98.633,-372.559,68.726
0.466,-0.000,0.481,113.220,-381.165,78.125
0.547,-0.021,0.201,130.554,-386.353,84.717
0.649,-0.064,-0.037,146.240,-383.240,87.646
0.713,-0.044,-0.202,152.100,-372.253,85.388
0.730,-0.072,-0.297,148.315,-358.826,73.364
0.671,-0.130,-0.378,138.672,-347.778,53.101
0.577,-0.170,-0.466,126.770,-341.248,31.433
0.483,-0.184,-0.600,114.624,-340.088,12.756
0.451,-0.172,-0.781,107.056,-342.285,1.831
0.501,-0.173,-0.977,104.614,-344.238,2.258
0.559,-0.148,-1.207,106.018,-339.478,13.062
0.631,-0.118,-1.464,113.708,-323.364,27.771
0.654,-0.130,-1.748,124.939,-293.396,39.246
0.621,-0.117,-2.043,132.141,-250.061,42.725
0.475,-0.115,-2.287,132.385,-196.899,38.452
0.437,-0.025,-2.487,111.389,-132.080,29.968
0.365,0.045,-2.617,79.834,-53.345,23.193
0.163,0.074,-2.383,47.424,20.569,19.348
-0.124,0.049,-1.939,2.441,50.903,3.418
-0.289,0.019,-1.475,-63.538,54.504,-20.813
-0.415,-0.052,-1.078,-122.253,57.617,-34.485
-0.569,-0.080,-0.848,-156.433,63.232,-42.419
-0.727,-0.110,-0.681,-164.001,76.172,-43.152
-0.831,-0.138,-0.519,-148.315,98.633,-36.682
-0.908,-0.136,-0.374,-121.216,122.070,-23.193
-0.958,-0.147,-0.240,-94.360,141.113,-7.935
-0.994,-0.193,-0.085,-75.134,148.743,2.625
-1.007,-0.250,0.089,-67.017,140.198,5.981
-1.027,-0.306,0.268,-64.148,117.126,2.502
-1.036,-0.375,0.398,-61.279,85.999,-4.395
-1.059,-0.432,0.442,-55.237,54.443,-11.230
-1.078,-0.505,0.439,-45.959,30.518,-14.954
-1.069,-0.546,0.420,-36.194,12.573,-14.832
-1.036,-0.576,0.366,-25.330,1.709,-9.644
-0.987,-0.600,0.291,-13.000,-1.404,-2.930
-0.940,-0.615,0.229,-2.136,2.014,2.563
-0.917,-0.618,0.183,5.859,10.376,6.165
-0.898,-0.610,0.168,7.690,19.714,6.165
-0.869,-0.591,0.193,2.808,25.085,2.441
-0.864,-0.559,0.214,-4.944,24.292,-3.357
-0.863,-0.535,0.231,-10.559,19.531,-9.583
-0.867,-0.515,0.227,-11.719,13.123,-15.137
-0.883,-0.499,0.214,-7.507,8.179,-17.517
-0.906,-0.468,0.197,-1.892,5.066,-18.005
-0.929,-0.435,0.173,3.174,2.686,-17.090
-0.944,-0.412,0.142,6.836,0.366,-15.198
-0.957,-0.386,0.105,8.728,-1.770,-13.306
-0.959,-0.362,0.069,8.667,-3.235,-12.451
-0.964,-0.344,0.046,8.057,-3.906,-11.963
-0.974,-0.329,0.018,6.836,-2.991,-11.536
-0.971,-0.325,0.013,6.287,-2.563,-10.681
-0.970,-0.329,0.016,5.859,-3.601,-8.789
-0.965,-0.335,0.012,5.676,-6.409,-6.531
-0.954,-0.345,-0.009,5.859,-10.681,-4.578
-0.947,-0.361,-0.037,7.080,-15.686,-2.625
-0.937,-0.380,-0.062,7.751,-20.020,-1.282
-0.934,-0.405,-0.104,8.423,-22.095,-0.366
-0.923,-0.417,-0.127,8.423,-21.362,0.000
-0.914,-0.425,-0.150,7.446,-18.677,0.427
-0.906,-0.427,-0.166,5.554,-14.587,0.610
-0.902,-0.426,-0.166,3.540,-10.071,0.793
-0.895,-0.419,-0.159,0.977,-5.981,0.061
-0.890,-0.405,-0.147,-1.465,-3.296,-1.038
-0.883,-0.390,-0.137,-2.808,-2.319,-1.953
-0.878,-0.377,-0.121,-3.723,-2.197,-2.625
-0.877,-0.369,-0.109,-4.333,-1.953,-3.357
-0.877,-0.368,-0.098,-2.930,-2.075,-3.418
-0.879,-0.366,-0.090,-2.075,-2.197,-3.235
-0.886,-0.369,-0.083,-2.136,-2.258,-2.869
-0.897,-0.376,-0.078,-3.235,-2.014,-2.747
-0.909,-0.389,-0.065,-4.333,-1.770,-2.625
-0.919,-0.404,-0.047,-4.211,-0.671,-2.502
-0.928,-0.413,-0.031,-2.197,0.916,-1.526
-0.930,-0.418,-0.015,-0.061,2.869,-0.610
-0.931,-0.419,-0.003,2.625,4.395,0.427
-0.930,-0.417,0.002,5.554,4.578,1.282
-0.929,-0.411,0.001,7.629,3.357,1.404
-0.924,-0.404,-0.010,7.996,1.221,0.671
-0.922,-0.402,-0.023,7.507,-1.526,-0.122
-0.917,-0.400,-0.036,5.493,-4.517,-1.526
-0.916,-0.396,-0.048,3.845,-7.080,-2.686
-0.916,-0.393,-0.063,3.418,-7.874,-3.052
-0.915,-0.388,-0.074,3.784,-6.958,-2.625
-0.911,-0.388,-0.081,4.211,-5.066,-1.526
-0.906,-0.384,-0.090,4.883,-3.235,0.061
-0.903,-0.381,-0.105,4.639,-1.526,1.160
-0.897,-0.377,-0.103,4.395,0.366,1.465
-0.897,-0.375,-0.108,4.211,1.953,1.282
-0.897,-0.371,-0.111,2.991,2.808,0.732
-0.896,-0.369,-0.111,1.526,3.052,-0.122
-0.900,-0.369,-0.113,0.854,3.052,-0.122
-0.902,-0.371,-0.110,0.061,3.540,0.000
-0.903,-0.375,-0.102,-0.122,4.517,0.427
-0.904,-0.379,-0.092,-0.244,5.676,1.221
-0.905,-0.383,-0.084,-0.244,6.104,1.770
-0.903,-0.386,-0.077,-0.977,5.981,1.770

0.014,0.187,2.551,-37.415,-31.067,-12.329
0.002,0.226,2.700,-21.240,-67.017,-8.667
0.023,0.271,2.759,6.042,-105.469,0.732
0.043,0.313,2.749,36.743,-138.855,16.113
0.090,0.322,2.687,62.317,-165.771,33.875
0.143,0.316,2.614,77.454,-188.904,49.377
0.179,0.276,2.506,83.008,-210.144,59.998
0.217,0.244,2.391,83.069,-231.873,65.063
0.270,0.238,2.272,80.444,-252.869,66.345
0.310,0.234,2.153,77.759,-269.592,67.688
0.329,0.225,2.019,76.660,-281.860,70.984
0.405,0.176,1.937,78.796,-291.504,75.500
0.417,0.138,1.853,82.581,-299.500,79.834
0.360,0.092,1.695,92.773,-308.044,80.872
0.317,0.075,1.487,111.389,-317.017,79.651
0.293,0.118,1.254,133.179,-321.960,79.712
0.253,0.138,1.012,153.198,-322.449,80.688
0.220,0.148,0.796,167.847,-321.838,81.970
0.246,0.149,0.638,173.767,-321.533,83.130
0.268,0.111,0.519,168.091,-318.420,82.642
0.303,0.048,0.474,154.053,-312.683,79.102
0.302,-0.016,0.459,136.047,-307.495,72.693
0.261,-0.074,0.391,119.629,-308.411,62.805
0.256,-0.107,0.291,115.723,-316.711,53.955
0.278,-0.104,0.157,123.657,-327.637,50.232
0.299,-0.085,-0.025,139.282,-338.074,51.575
0.345,-0.028,-0.230,159.851,-348.083,55.725
0.401,0.039,-0.430,182.434,-356.018,60.608
0.410,0.014,-0.664,198.608,-356.506,61.646
0.351,-0.039,-0.878,202.576,-348.511,57.129
0.255,-0.067,-1.065,196.472,-336.487,47.668
0.202,-0.082,-1.234,184.814,-321.411,35.095
0.156,-0.088,-1.388,166.199,-302.673,21.179
0.113,-0.086,-1.534,142.578,-280.090,7.751
0.078,-0.061,-1.641,118.225,-254.517,-2.686
0.033,-0.045,-1.724,96.924,-224.060,-10.498
-0.026,-0.035,-1.768,79.529,-188.416,-16.296
-0.111,-0.055,-1.731,63.782,-149.170,-19.836
-0.222,-0.099,-1.608,44.678,-109.802,-24.170
-0.353,-0.166,-1.396,21.851,-73.120,-29.785
-0.489,-0.220,-1.136,-0.122,-40.771,-36.438
-0.585,-0.229,-0.862,-18.188,-18.982,-44.983
-0.693,-0.238,-0.589,-34.485,-16.235,-53.528
-0.769,-0.240,-0.380,-47.485,-32.166,-59.143
-0.814,-0.267,-0.299,-51.697,-52.490,-58.899
-0.833,-0.312,-0.335,-43.274,-65.613,-50.293
-0.840,-0.352,-0.450,-24.719,-65.918,-35.217
-0.830,-0.372,-0.583,-3.540,-53.284,-16.479
-0.810,-0.392,-0.696,12.451,-32.593,1.221
-0.794,-0.422,-0.760,18.555,-7.202,16.357
-0.785,-0.449,-0.766,10.010,20.081,24.902
-0.770,-0.469,-0.718,-8.362,44.983,26.184
-0.735,-0.514,-0.577,-31.311,63.904,21.973
-0.713,-0.549,-0.384,-49.377,72.754,14.343
-0.700,-0.547,-0.164,-54.443,70.679,3.418
-0.735,-0.546,-0.021,-44.800,58.960,-8.606
-0.766,-0.541,0.041,-29.358,40.833,-19.287
-0.826,-0.539,0.037,-17.395,21.912,-26.550
-0.882,-0.538,-0.002,-10.437,7.629,-28.931
-0.923,-0.524,-0.058,-6.531,0.854,-28.076
-0.943,-0.499,-0.110,-3.845,1.282,-25.085
-0.959,-0.462,-0.150,-1.343,6.470,-20.325
-0.971,-0.424,-0.173,-0.488,13.733,-15.747
-0.975,-0.388,-0.186,-1.282,19.836,-12.146
-0.978,-0.366,-0.183,-2.808,22.888,-9.827
-0.984,-0.356,-0.170,-3.052,22.705,-8.057
-0.986,-0.345,-0.152,-1.465,19.592,-6.775
-0.982,-0.331,-0.147,1.404,12.512,-4.578
-0.974,-0.335,-0.168,3.418,3.418,-2.380
